"internal_taxon_id","BasisOfRec","DEC_LONG","DEC_LAT","BINOMIAL","EVENT_YEAR","CATALOG_NO","SPATIALREF","PRESENCE","ORIGIN","SEASONAL","YEAR","DATA_SENS","SOURCE","COMPILER","CITATION"
"314550-1","PreservedSpecimen",-3.722004,5.226186,"Scleria achtenii",1952,NA,"WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/447944f5-3897-46ec-ad05-9b9d7a3ae39c","",""
"314550-1","PreservedSpecimen",-4.976543,6.382356,"Scleria achtenii",1969,NA,"WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/447944f5-3897-46ec-ad05-9b9d7a3ae39c","",""
"314550-1","PreservedSpecimen",-4.376853,5.325556,"Scleria achtenii",1958,NA,"WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/447944f5-3897-46ec-ad05-9b9d7a3ae39c","",""
"314550-1","PreservedSpecimen",-4.98987,6.23238,"Scleria achtenii",1982,NA,"WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/447944f5-3897-46ec-ad05-9b9d7a3ae39c","",""
"314550-1","PreservedSpecimen",-4.98987,6.23238,"Scleria achtenii",1982,NA,"WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/447944f5-3897-46ec-ad05-9b9d7a3ae39c","",""
"314550-1","PreservedSpecimen",-5.033333,7.683333,"Scleria achtenii",2013,NA,"WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/fa4e2235-778f-4ca9-bb54-6f50da39a79e","",""
"314550-1","PreservedSpecimen",-3.722004,5.226186,"Scleria achtenii",1952,NA,"WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/447944f5-3897-46ec-ad05-9b9d7a3ae39c","",""
"314550-1","PreservedSpecimen",-5.00008,5.24456,"Scleria achtenii",1957,NA,"WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/447944f5-3897-46ec-ad05-9b9d7a3ae39c","",""
"314550-1","PreservedSpecimen",-4.98987,6.23238,"Scleria achtenii",1958,NA,"WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/447944f5-3897-46ec-ad05-9b9d7a3ae39c","",""
"314550-1","PreservedSpecimen",-7.39876,5.821188,"Scleria achtenii",1964,NA,"WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/447944f5-3897-46ec-ad05-9b9d7a3ae39c","",""
"314550-1","PreservedSpecimen",30.625,-30.375,"Scleria achtenii",1986,"PRE0808737-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/1881d048-04f9-4bc2-b7c8-931d1659a354","",""
"314550-1","PreservedSpecimen",30.875,-29.875,"Scleria achtenii",1964,"NH0071433-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/0a4f3e3b-1910-445a-afa7-9b93abe69ee1","",""
"314550-1","PreservedSpecimen",30.625,-30.375,"Scleria achtenii",1966,"PRE0106544-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/1881d048-04f9-4bc2-b7c8-931d1659a354","",""
"314550-1","PreservedSpecimen",30.625,-30.375,"Scleria achtenii",1986,"NH0115657-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/0a4f3e3b-1910-445a-afa7-9b93abe69ee1","",""
"314550-1","PreservedSpecimen",30.875,-29.625,"Scleria achtenii",1977,"PRE0513222-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/1881d048-04f9-4bc2-b7c8-931d1659a354","",""
