kingdom,phylum,classname,ordername,family
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,Eupomatiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,HAMAMELIDALES,Eupteleaceae
PLANTAE,MARCHANTIOPHYTA,MARCHANTIOPSIDA,MARCHANTIALES,Exormothecaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,Fabaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,Fabroniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,Fagaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,DICRANALES,Fissidentaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Flacourtiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,RESTIONALES,Flagellariaceae
PLANTAE,BRYOPHYTA,MARCHANTIOPSIDA,METZGERIALES,Fossombroniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Fouquieriaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Frankeniaceae
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,Frullaniaceae
PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,NEMALIALES,Galaxauraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES,Garryaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,Geissolomataceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,Gentianaceae
PLANTAE,BRYOPHYTA,MARCHANTIOPSIDA,JUNGERMANNIALES,Geocalycaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GERANIALES,Geraniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,Gesneriaceae
PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,GIGARTINALES,Gigartinaceae
PLANTAE,TRACHEOPHYTA,GINKGOOPSIDA,GINKGOALES,Ginkgoaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Gisekiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,Glaucidiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,Globulariaceae
PLANTAE,TRACHEOPHYTA,GNETOPSIDA,GNETALES,Gnetaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SOLANALES,Goetzeaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,Gomortegaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAMPANULALES,Goodeniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,Goupiaceae
PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,GRACILARIALES,Gracilariaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,CYPERALES,Gramineae
